Rank,Query,Count
1,nel,16509
2,pubmed,10051
3,uhsutstyr,3904
4,web of science,3014
5,pressreader,2515
6,scopus,1830
7,uptodate,1326
8,idunn,1229
9,medline,1188
10,psycinfo,594
11,det kvalitative forskningsintervju,545
12,spesialpedagogikk,483
13,worldcat,474
14,aftenposten,454
15,kvalitativ metode,408
16,factiva,400
17,loeb,399
18,vite være gjøre,390
19,up to date,369
20,thematic analysis,362
21,embase,354
22,65 jan m smits the mind and method of the legal academic,337
23,oxford classical dictionary,332
24,borrehaugene i vestfold,327
25,avtalerett,301
26,test,297
27,menneskets fysiologi,293
28,introduksjon til samfunnsvitenskapelig metode,289
29,sivilprosess,287
30,john schostak interviewing and representation in,281
31,oed,278
32,medical education a comparative study,275
33,blunted opioid regulation of the hpa stress response during nicotine withdrawal therapeutic implications,267
34,forvaltningsrett,252
35,the economist,245
36,google scholar,243
37,kvalitative forskningsmetoder i praksis,239
38,oxford english dictionary,225
39,loeb classical library online,205
40,straffeprosess,202
41,pema tseden,201
42,adhd,200
43,bildwörterbuch der architektur,194
44,obligasjonsrett,192
45,arbeidsrett,188
46,vite være gjøre exphil lærebok med originaltekster cappelen herman,185
47,hvordan bruke teori,179
48,selskapsrett,179
49,internasjonale konvensjoner som rettskilde,178
50,juridisk metode,176
