year,month,searches,search string,search string cleaned,active tab,signed in,on campus,results
2023,04,18, critical insights: the harry potter series,critical insights the harry potter series,default_tab,0,0,7
2023,04,32,"""carbohydrate quality"" or ""cqi"" or ""glycaemic index"" or ""glyceamic load"" or ""refined carbohydrates"" or ""refined sugar intake"" or ""added sugar"",""visceral adiposity"" or ""central obesity"" or ""abdominal adiposity"" or ""metabolic syndrome"",""waist to hip ratio"" or ""waist circumference""",carbohydrate quality or cqi or glycaemic index or glyceamic load or refined carbohydrates or refined sugar intake or added sugarvisceral adiposity or central obesity or abdominal adiposity or metabolic syndromewaist to hip ratio or waist circumference,default_tab,32,0,19
2023,04,11,"""dehumanization: an integrative review""",dehumanization an integrative review,default_tab,11,10,1
2023,04,10,"""the past, the present and the future of police research""",the past the present and the future of police research,default_tab,10,10,9
2023,04,11,10.1007/s00228-007-0324-2,101007s0022800703242,default_tab,11,0,1
2023,04,11,10.1016/s1470-2045(16)30224-8,101016s1470204516302248,default_tab,11,0,1
2023,04,29,862135680,862135680,default_tab,0,0,1
2023,04,15,a meta-analysis of executive functioning in dyslexia with consideration of the impact of comorbid adhd,a metaanalysis of executive functioning in dyslexia with consideration of the impact of comorbid adhd,default_tab,15,1,2
2023,04,10,a review of medication adherence monitoring technologies(review),a review of medication adherence monitoring technologiesreview,default_tab,10,0,1690.6
2023,04,11,act enkelt og greit,act enkelt og greit,default_tab,0,0,3
2023,04,10,adhd,adhd,default_tab,0,7,151618.7
2023,04,10,advanced introduction to cyber security law,advanced introduction to cyber security law,default_tab,0,10,146.8
2023,04,12,aftenposten,aftenposten,default_tab,0,2,1496
2023,04,16,agora,agora,default_tab,16,12,25839
2023,04,10,allianseforsvar i endring : 1970-2000,allianseforsvar i endring 19702000,default_tab,10,10,1
2023,04,14,an introduction to social psychology,an introduction to social psychology,default_tab,0,2,75777.7857142857
2023,04,12,andrè årnes,andrè årnes,default_tab,12,12,1599.08333333333
2023,04,10,anette vik jøsendal,anette vik jøsendal,default_tab,10,0,9.6
2023,04,13,are real interest rates really nonstationary? new evidence from tests with good size and power,are real interest rates really nonstationary new evidence from tests with good size and power,default_tab,13,0,29
2023,04,27,arthroscopy,arthroscopy,default_tab,0,27,84126.3333333333
2023,04,11,artificial intelligence for optimization and interpretation of pet/ct and pet/mr images,artificial intelligence for optimization and interpretation of petct and petmr images,default_tab,11,0,2
2023,04,12,autisme,autisme,default_tab,0,3,9067
2023,04,14,autonomi og distrikt,autonomi og distrikt,default_tab,14,13,8.64285714285714
2023,04,11,avoid diluting democracy by algorithms,avoid diluting democracy by algorithms,default_tab,0,1,1
2023,04,11,avtalerett,avtalerett,default_tab,0,7,613
2023,04,12,baha´i,bahai,default_tab,0,0,5187
2023,04,10,barn og foreldre,barn og foreldre,default_tab,0,3,5819.6
2023,04,11,barnelitteraturteori,barnelitteraturteori,default_tab,11,1,79
2023,04,10,"barneloven,samvær",barnelovensamvær,default_tab,0,0,61.3
2023,04,10,basic immunology,basic immunology,default_tab,10,5,497590.4
2023,04,29,basics of light and pdt-related photochemistry,basics of light and pdtrelated photochemistry,default_tab,29,0,1
2023,04,10,before the law. the complete text,before the law the complete text,default_tab,0,0,292164.8
2023,04,10,beiser-mcgrath and bernauer 2019;,beisermcgrath and bernauer 2019,default_tab,0,0,3
2023,04,12,"bevis,juss",bevisjuss,default_tab,0,0,194.5
2023,04,51,blunted opioid regulation of the hpa stress response during nicotine withdrawal: therapeutic implications,blunted opioid regulation of the hpa stress response during nicotine withdrawal therapeutic implications,default_tab,38,6,0.948380566801619
2023,04,11,bourdieu,bourdieu,default_tab,0,5,25877.8181818182
2023,04,12,bronfenbrenner,bronfenbrenner,default_tab,0,3,4459.66666666667
2023,04,13,"building consensus on definition and nomenclature of hepatic, pancreatic, and biliary organoids",building consensus on definition and nomenclature of hepatic pancreatic and biliary organoids,default_tab,13,13,3
2023,04,14,"building renaissance venice. patrons, architects %26 builders",building renaissance venice patrons architects 26 builders,default_tab,14,0,8
2023,04,11,carl rogers,carl rogers,default_tab,11,5,4882.54545454545
2023,04,10,carmen draghici,carmen draghici,default_tab,0,0,85
2023,04,12,cavell on subjectivity,cavell on subjectivity,default_tab,12,0,114
2023,04,28,"centeno et al., 2019).",centeno et al 2019,default_tab,28,0,57
2023,04,15,chansen,chansen,default_tab,0,11,315
2023,04,11,chosen family japan,chosen family japan,default_tab,0,0,630
2023,04,12,clocks and culture,clocks and culture,default_tab,12,0,5679.66666666667
2023,04,14,"clocks and culture, 1300-1700.",clocks and culture 13001700,default_tab,14,0,7
2023,04,10,consolidation of flaking paint,consolidation of flaking paint,default_tab,10,0,37.7
2023,04,10,"conture, e. g., walden, t., arnold, h. s., graham, c. g., hartfield, k. n., %26 karrass, j. (2006). a communication-emotional model of stuttering. in n. bernstein-ratner %26 j. tetnowski (eds.), current issues in stuttering research and practice (pp. 17–46). mahwah: lawrence erlbaum associates.",conture e g walden t arnold h s graham c g hartfield k n 26 karrass j 2006 a communicationemotional model of stuttering in n bernsteinratner 26 j tetnowski eds current issues in stuttering research and practice pp 1746 mahwah lawrence erlbaum associates,default_tab,10,0,1
2023,04,21,conversation analysis,conversation analysis,default_tab,11,2,83447.1045454545
2023,04,10,conversation pieces,conversation pieces,default_tab,10,10,12018
2023,04,10,copper uptake copepod,copper uptake copepod,default_tab,10,0,49
2023,04,16,criteria for designing technology for students with adhd,criteria for designing technology for students with adhd,default_tab,16,2,3
2023,04,44,det kvalitative forskningsintervju,det kvalitative forskningsintervju,default_tab,24,13,434.804166666667
2023,04,10,digital dømmekraft i skolen,digital dømmekraft i skolen,default_tab,0,3,18
2023,04,14,diskursanalyse,diskursanalyse,default_tab,0,2,4510.07142857143
2023,04,11,does diversity pay,does diversity pay,default_tab,11,5,2772.27272727273
2023,04,11,"dynamiske og lærende organisasjoner. ledelse og utvikling i arbeidsliv i endring,",dynamiske og lærende organisasjoner ledelse og utvikling i arbeidsliv i endring,default_tab,11,5,1
2023,04,13,early language acquisition: cracking the speech code,early language acquisition cracking the speech code,default_tab,13,0,2
2023,04,10,early vocabulary development in danish and other languages: a cdi-based comparison,early vocabulary development in danish and other languages a cdibased comparison,default_tab,10,0,7
2023,04,11,elizabeth loftus,elizabeth loftus,default_tab,0,0,976
2023,04,11,emotion dysregulation aggressive,emotion dysregulation aggressive,default_tab,0,0,276.909090909091
2023,04,23,empowerment,empowerment,default_tab,12,10,174299.810606061
2023,04,10,eric,eric,default_tab,0,4,2721539.4
2023,04,10,etikk i helsetjenesten,etikk i helsetjenesten,default_tab,0,5,88.3
2023,04,11,exploring the role of dependence in influencing small states' alliance contributions: a reputation mechanism argument and assessment,exploring the role of dependence in influencing small states alliance contributions a reputation mechanism argument and assessment,default_tab,11,11,2
