date,searches,search string,search string cleaned,field searched,search type,active tab,resource type pre-filter,signed in,on campus
2023-04-25,1,10.7551/mitpress/9780262028431.001.0001,107551mitpress97802620284310010001,any,Keyword,default_tab,All items,0,1
2024-11-28,1,Community Development and Persistence in a Low Rocky Intertidal Zone,community development and persistence in a low rocky intertidal zone,any,Keyword,default_tab,Books,0,1
2023-02-08,2,Cinema as Representational Art abell,cinema as representational art abell,any,Keyword,default_tab,All items,0,0
2023-05-04,2,"Bowman, C. P. (2017). Masturbation.",bowman c p 2017 masturbation,any,Keyword,default_tab,All items,0,0
2024-06-08,1,dagsordenhypotesen,dagsordenhypotesen,any,Keyword,default_tab,All items,0,0
2023-01-28,1,"Barnevernet og barneloven,Barnevernet og barneloven,Barnevernet og barneloven,Barnevernet og barneloven",barnevernet og barnelovenbarnevernet og barnelovenbarnevernet og barnelovenbarnevernet og barneloven,"any,any,any,any","Keyword,Keyword,Keyword,Keyword",default_tab,All items,0,1
2024-12-28,3,joe dumit how i read,joe dumit how i read,any,Keyword,default_tab,Books,3,0
2024-12-11,1,A Meta-Analysis of After-School Programs That Seek to Promote  Personal and Social Skills in Children and Adolescents,a metaanalysis of afterschool programs that seek to promote personal and social skills in children and adolescents,any,Keyword,default_tab,All items,0,1
2023-07-29,1,Weaver  W. 1949/1955. Translation.,weaver w 19491955 translation,any,Keyword,default_tab,All items,0,1
2023-01-05,2,"""Students' Transition from Extended to Mainstream Programmes at a South African University""",students transition from extended to mainstream programmes at a south african university,any,Keyword,default_tab,All items,0,0
2023-12-17,1,"Mercer, N. %26 Littleton, K. (2007): Dialogue and the Development of Children's’ Thinking",mercer n 26 littleton k 2007 dialogue and the development of childrens thinking,any,Keyword,default_tab,All items,0,0
2024-06-25,1,"Laura Watts,Orkney",laura wattsorkney,"creator,title","Keyword,Keyword",default_tab,All items,0,1
2023-09-21,1,"""Some Reflections on the Nature of Knowledge in Social Science Education""",some reflections on the nature of knowledge in social science education,any,Keyword,default_tab,All items,0,1
2023-07-27,1,The value sphere: the corporate executives' handbook for creating and retaining shareholder wealth,the value sphere the corporate executives handbook for creating and retaining shareholder wealth,any,Keyword,default_tab,All items,1,1
2023-03-31,2,Bookchin Spocial ecology versus deep ecology,bookchin spocial ecology versus deep ecology,any,Keyword,default_tab,All items,0,2
